time,coord_x,coord_y
13.43638,0.490389,0.620746
13.45009,0.490641,0.621024
13.46403,0.490907,0.621321
13.47813,0.491173,0.621647
13.49188,0.491428,0.622003
13.50604,0.491684,0.622388
13.52312,0.491988,0.622815
13.53357,0.492157,0.623071
13.54763,0.49236,0.623384
13.56156,0.492551,0.623652
13.57541,0.492755,0.623859
13.58928,0.493007,0.624025
13.60337,0.493321,0.624161
13.61713,0.493662,0.624281
13.63117,0.494037,0.624396
13.64505,0.494421,0.624479
13.65905,0.494822,0.624509
13.67291,0.495232,0.624507
13.68696,0.495663,0.624507
13.70079,0.496109,0.624535
13.71457,0.496569,0.624608
13.72869,0.497066,0.624732
13.74252,0.497544,0.624879
13.75647,0.498014,0.625023
13.77041,0.498463,0.625182
13.78416,0.498883,0.625389
13.7981,0.499288,0.625643
13.81232,0.499667,0.625949
13.82617,0.500014,0.626243
13.83995,0.500329,0.626461
13.85388,0.500635,0.626608
13.86782,0.500941,0.626643
13.88189,0.50125,0.626623
13.89558,0.501556,0.626574
13.90955,0.501854,0.626507
13.92361,0.502142,0.626438
13.9374,0.502412,0.626372
13.95133,0.502676,0.626307
13.96535,0.502929,0.626257
13.97906,0.503172,0.626205
13.9931,0.503429,0.626143
14.00701,0.50371,0.626043
14.02103,0.504063,0.62587
14.03484,0.504494,0.625624
14.04887,0.505008,0.625347
14.06289,0.505572,0.625081
14.07661,0.506198,0.624807
14.09059,0.506903,0.624507
14.10435,0.507618,0.624186
14.11834,0.508335,0.623839
14.13222,0.509051,0.623487
14.14626,0.509762,0.623126
14.16011,0.510464,0.622742
14.17413,0.511169,0.62234
14.18807,0.511812,0.621948
14.20197,0.512368,0.621597
14.21591,0.512838,0.621301
14.22975,0.513266,0.621034
14.24374,0.513618,0.62083
14.25757,0.513927,0.620661
14.27173,0.514223,0.620506
14.28551,0.514497,0.620362
14.29943,0.514747,0.62023
14.31337,0.514953,0.620102
14.32728,0.515127,0.619963
14.34117,0.515276,0.619804
14.35505,0.515422,0.61961
14.36915,0.515564,0.619415
14.38298,0.5157,0.619235
14.3969,0.515828,0.619067
14.4107,0.515957,0.61889
14.42491,0.516087,0.618689
14.43876,0.516215,0.618472
14.45266,0.516354,0.618251
14.46639,0.516489,0.618044
14.48039,0.516621,0.617859
14.49431,0.516736,0.6177
14.50823,0.516835,0.617576
14.5221,0.516919,0.617481
14.53609,0.516985,0.617428
14.5501,0.517045,0.617389
14.56395,0.517453,0.617151
14.57797,0.518158,0.616706
14.59179,0.518843,0.616259
14.60572,0.519623,0.615675
14.61961,0.520364,0.61504
14.6335,0.521123,0.614373
14.64752,0.521923,0.613646
14.66178,0.522832,0.612786
14.67535,0.523679,0.611965
14.68927,0.52481,0.610921
14.70323,0.525934,0.609854
14.71705,0.52707,0.608784
14.73116,0.52821,0.607702
14.74482,0.529345,0.606656
14.75891,0.530523,0.605589
